title,year,duration,votes,meta_score,budget,opening_weekend_gross,gross_worldwide
"Blithe Spirit",2020,99,9000,26.0,0,88559,964832
"Created Equal: Clarence Thomas in His Own Words",2020,116,1200,41.0,0,74577,282149
"Fatman",2020,100,32000,40.0,0,108305,1651413
"Heaven",2020,100,133,0,0,49130,259323
"Supernova",2020,95,15000,73.0,0,90096,3415787
"Limbo",2020,104,5600,83.0,0,84710,921894
"Wild Mountain Thyme",2020,102,13000,42.0,0,95360,1517267
"The Secrets We Keep",2020,97,7800,48.0,0,88306,615233
"Shiva Baby",2020,77,38000,79.0,0,7160,359247
"The Witches",2020,106,49000,47.0,0,0,29303571
"Fate/stay night [Heaven's Feel] III. spring song",2020,120,3000,0,0,200000,19252497
"Always and Forever",2020,98,671,0,4000000,12361,302335
"The Wolf of Snow Hollow",2020,85,26000,67.0,2000000,91943,266963
"Come Away",2020,94,6100,40.0,0,106084,1692494
"Follow Me",2020,91,14000,0,0,79182,4377394
"I Carry You with Me",2020,111,1900,76.0,0,17127,193860
"Palm Springs",2020,90,197000,83.0,0,164000,1512871
"Ammonite",2020,117,25000,72.0,10000000,87552,1109287
"The Dark and the Wicked",2020,95,26000,72.0,0,60379,736153
"Shadow in the Cloud",2020,83,33000,66.0,10000000,39117,1054290
"My Donkey, My Lover & I",2020,96,4100,72.0,3570000,37188,7974769
"The Reckoning",2020,110,4000,31.0,0,64911,596806
"Wendy",2020,111,3900,55.0,6000000,26214,235016
"Held",2020,94,3100,46.0,0,46277,150913
"Archive",2020,109,28000,67.0,0,52642,243279
"No Man's Land",2020,114,1400,52.0,0,58969,183882
"Most Wanted",2020,125,5800,62.0,0,0,153983
"The Nest",2020,107,20000,81.0,0,65540,2122682
"Six Minutes to Midnight",2020,99,6400,48.0,0,51315,2920431
"Archenemy",2020,90,3700,57.0,0,53678,147757
"The Rose Maker",2020,95,1300,65.0,5979175,8409,2876321
"The World to Come",2020,105,12000,73.0,0,51245,205878
"Gunda",2020,93,3100,89.0,0,5023,383128
"The Man Standing Next",2020,114,4600,0,0,16514,34664900
"The Paper Tigers",2020,108,5500,67.0,0,46615,118351
"Made in Italy",2020,94,12000,44.0,0,33998,2915266
"The Silencing",2020,93,37000,0,0,53205,170653
"Psycho Goreman",2020,95,16000,67.0,1500000,40366,95384
"First Lady",2020,101,331,0,0,56747,93298
"Tesla",2020,102,11000,67.0,5000000,42165,459051
