year,duration,rating,votes,meta_score,budget,opening_weekend_gross,gross_worldwide
2020,84,6.4,156,72.0,0,2581,4109
2020,105,6.1,37,0,0,1936,3816
2020,86,7.5,219,0,0,1995,20175
2020,99,5.4,1300,57.0,0,1286,314687
2020,85,5.2,3100,42.0,0,3310,105439
2020,109,6.6,1900,68.0,0,2992,11696
2020,92,6.6,2400,77.0,1500000,1052,572724
2020,124,7.7,2100,77.0,0,2202,142241
2020,97,5.9,48,0,0,2371,2371
2020,104,5.4,1400,0,8500000,856,9472077
2020,102,5.7,1100,0,0,1202,683124
2020,93,4.5,2700,44.0,0,1454,38806
2020,98,5.4,2200,0,0,534,1844043
